IdRegional;Municipio
491;4002 - BARANOA - ATLANTICO
492;0 - BARAYA - CAUCA
493;18007 - BARAYA - HUILA
494;0 - BARAYA - QUINDIO
495;27015 - BARAYA - SANTANDER
496;28001 - BARAYA - SUCRE
497;0 - BARBACOAS - ANTIOQUIA
498;0 - BARBACOAS - CORDOBA
499;0 - BARBACOAS - LA GUAJIRA
500;21009 - BARBACOAS - NARINO
501;0 - BARBASCAL DE ASTURIAS - CORDOBA
502;0 - BARBILLAS - CAUCA
503;2017 - BARBOSA - ANTIOQUIA
504;5004 - BARBOSA - BOLIVAR
505;27016 - BARBOSA - SANTANDER
506;0 - BARCELONA - CORDOBA
507;0 - BARCELONA - META
508;24001 - BARCELONA - QUINDIO
509;0 - BARCELONA ALTA-EL TRIUNFO - QUINDIO
510;22010 - BARCO LA SILLA - NORTE DE SANTANDER
511;0 - BARCOS - VALLE DEL CAUCA
512;0 - BARENO - ANTIOQUIA
513;27018 - BARICHARA - SANTANDER
514;0 - BARRAGAN - CAUCA
515;24002 - BARRAGAN - QUINDIO
516;30010 - BARRAGAN - VALLE DEL CAUCA
517;0 - BARRANCA - BOLIVAR
518;11007 - BARRANCA DE LEBRIJA - CESAR
519;0 - BARRANCA DE UPIA - META
520;20033 - BARRANCA DE UPIA  - META
521;5008 - BARRANCA DE YUCA - BOLIVAR
522;5005 - BARRANCA NUEVA - BOLIVAR
523;5006 - BARRANCA VIEJA - BOLIVAR
524;27019 - BARRANCABERMEJA - SANTANDER
525;16001 - BARRANCAS - LA GUAJIRA
526;0 - BARRANCAS - SUCRE
527;0 - BARRANCAS - VALLE DEL CAUCA
528;0 - BARRANCO - MAGDALENA
529;0 - BARRANCO COLORADO - META
530;19006 - BARRANCO DE CHILLOA - MAGDALENA
531;0 - BARRANCO DE LOBA - BOLIVAR
532;5007 - BARRANCO DE LOBA  - BOLIVAR
533;15002 - BARRANCO MINA (Cor. Departamental) - GUAINIA
534;15001 - BARRANCO MINAS - GUAINIA
535;0 - BARRANCO PICURE - GUAINIA
536;0 - BARRANCO TIGRE - GUAINIA
537;0 - BARRANCON - CORDOBA
538;0 - BARRANCONES - ARAUCA
539;0 - BARRANCUDA - ANTIOQUIA
540;4000 - BARRANQUILLA - ATLANTICO
541;0 - BARRANQUILLITA - ANTIOQUIA
542;0 - BARRANQUILLITA - GUAVIARE
543;0 - BARRIENTOS - NORTE DE SANTANDER
544;0 - BARRIGON - ATLANTICO
545;0 - BARRIO ACOSTA - CESAR
546;0 - BARRIO COLORADO (GUALAJO) - NARINO
547;0 - BARRIO EL BOSQUE - RISARALDA
548;0 - BARRIO MAMEY - CORDOBA
549;0 - BARRIO MEDELLIN - CALDAS
550;0 - BARRIO NUEVO - ANTIOQUIA
551;0 - BARRIO NUEVO - SANTANDER
552;0 - BARRO BLANCO - ANTIOQUIA
553;19107 - BARRO BLANCO - MAGDALENA
554;0 - BARRO PRIETO - CORDOBA
555;0 - BARROSO - TOLIMA
556;5009 - BARU - BOLIVAR
557;0 - BARZALOSA - CUNDINAMARCA
558;0 - BASTIDAS - MAGDALENA
559;0 - BASURU - CHOCO
560;0 - BATATA - CORDOBA
561;0 - BATATAL - CHOCO
562;0 - BATATAL - VALLE DEL CAUCA
563;14008 - BATEAS - CUNDINAMARCA
564;0 - BATERO - RISARALDA
565;0 - BAUDOCITO - CHOCO
566;0 - BAUTISTA - CESAR
567;5177 - BAYANO - BOLIVAR
568;5010 - BAYUNCA - BOLIVAR
569;0 - BAZAN - NARINO
570;0 - BAZAN - SUCRE
571;30088 - BAZAN (LA BOCANA) - VALLE DEL CAUCA
572;12041 - BEBARAMA - CHOCO
573;0 - BEBEDO - CHOCO
574;11008 - BECERRIL - CESAR
575;0 - BEJARANAS - SANTANDER
576;0 - BEJUQUILLO - ANTIOQUIA
577;7009 - BELALCAZAR - CALDAS
578;10006 - BELALCAZAR - CAUCA
579;2176 - BELEN - ANTIOQUIA
580;6004 - BELEN - BOYACA
581;0 - BELEN - CAUCA
582;0 - BELEN - CHOCO
583;0 - BELEN - CORDOBA
584;18008 - BELEN - HUILA
585;19007 - BELEN - MAGDALENA
586;21010 - BELEN - NARINO
587;22011 - BELEN - NORTE DE SANTANDER
588;28002 - BELEN - SUCRE
589;12064 - BELEN DE BAJIRA - CHOCO
590;0 - BELEN DE DOCAMPODO - CHOCO
591;8002 - BELEN DE LOS ANDAQUIES - CAQUETA
592;25006 - BELEN DE UMBRIA - RISARALDA
593;6005 - BELENCITO - BOYACA
594;0 - BELGICA - CASANARE
595;0 - BELGICA - VALLE DEL CAUCA
596;0 - BELISARIO - NARINO
597;0 - BELLA ROSA - CORDOBA
598;0 - BELLA VISTA - MAGDALENA
599;0 - BELLA VISTA - NARINO
600;22012 - BELLA VISTA - NORTE DE SANTANDER
601;0 - BELLAFLORIDA - NARINO
602;0 - BELLALUZ - CHOCO
603;0 - BELLALUZ - NORTE DE SANTANDER
604;2209 - BELLAVISTA - ANTIOQUIA
605;0 - BELLAVISTA - CALDAS
606;0 - BELLAVISTA - CASANARE
607;0 - BELLAVISTA - CAUCA
608;0 - BELLAVISTA - CHOCO
609;0 - BELLAVISTA - CUNDINAMARCA
610;19008 - BELLAVISTA - MAGDALENA
611;0 - BELLAVISTA - NARINO
612;0 - BELLAVISTA - SUCRE
613;0 - BELLAVISTA - VALLE DEL CAUCA
614;2019 - BELLO - ANTIOQUIA
615;0 - BELLO HORIZONTE - CAUCA
616;2018 - BELMIRA - ANTIOQUIA
617;0 - BELMONTE BAJO - RISARALDA
618;14009 - BELTRAN - CUNDINAMARCA
